"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","a2023a","Generic A2023a","Apogee Instruments","VISA_SCPI","lantz/VISA","*IDN?","30","T2_visa_needs_rs232_idn"
"community","a2_d_4_ch__isolated_adc","AADCO闆舵皵鍙戠敓鍣?37-14","骞垮窞灏氬噯浠櫒璁惧鑲′唤鏈夐檺鍏徃","VISA_SCPI","lantz/VISA","","10","T2_visa_needs_rs232_idn"
"community","a2_d_daq","Generic A/D DAQ Module 鏁版嵁閲囬泦妯″潡","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:READ:ANA? (@{ch})","14","T2_visa_needs_rs232_idn"
"community","a2_d_power_board","Generic A/D Power Board 鐢垫簮鏉?","A/D Instruments","VISA_SCPI","lantz/VISA","MEAS:VOLT:DC?","13","T2_visa_needs_rs232_idn"
"community","a2_d_sense_board","A/D Sense Board 浼犳劅鏉?","A/D Instruments","VISA_SCPI","lantz/VISA","MEAS:VOLT:DC?","9","T2_visa_needs_rs232_idn"
"community","a2_d__eload","Generic A/D Electronic Load 鐢靛瓙璐熻浇","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:RS485?","26","T2_visa_needs_rs232_idn"
"community","a2_d__relay__board","Generic A/D Relay Board 缁х數鍣ㄦ澘","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:DAQ:GET:NCHS?","9","T2_visa_needs_rs232_idn"
"community","a4_s_backend","Generic A4 S Backend 鍚庣鎺у埗鍣?","Opentrons","SERIAL","pyserial","","13","T1b_serial_probe_tbd"
"community","aa_opto_mds","type: string","","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","access2_backend","Automated Sample Storage","Hamilton","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","acq1102","ACQ1102 2 site compact FMC/ELF carrier","D-TACQ Solutions","TCP","socket","","0","T3_network_needs_ext"
"community","acq2106","ACQ2106","D-TACQ Solutions","TCP","socket","","5","T3_network_needs_ext"
"community","acq2106_tiga","ACQ2106","D-TACQ Solutions","TCP","socket","","2","T3_network_needs_ext"
"community","acq2106__mgtdram8","ACQ2106","D-TACQ Solutions","TCP","socket","","2","T3_network_needs_ext"
"community","acq400e","ACQ424ELF","D-TACQ Solutions","TCP","socket","","11","T3_network_needs_ext"
"community","adn_xpt","Analog Devices ADN Crosspoint Switch","Analog Devices","UNKNOWN","","","14","T4_manual_review"
"community","ads_symbol","type: string","Beckhoff Automation","UNKNOWN","","","9","T4_manual_review"
"community","afg3021b","Tektronix(娉板厠)AFG3021B 浠绘剰娉㈠嚱鏁板彂鐢熷櫒","Tektronix","VISA_SCPI","lantz/VISA","*IDN?","1","T2_visa_needs_rs232_idn"
"community","afms","Afms","Adafruit Industries","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","agilent33210_a","33210A Waveform/Function Generator [Discontinued]","Keysight","TCP","socket","","6","T3_network_needs_ext"
"community","agilent33220a","33220A Function / Arbitrary Waveform Generator, 20 MHz [Obsolete]","Keysight","UNKNOWN","","OUTP:LOAD?","8","T4_manual_review"
"community","agilent34410a","34410A Digital Multimeter, 6陆 Digit [Obsolete]","Keysight","UNKNOWN","","DATA:POIN?","9","T4_manual_review"
