"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","a2023a","Generic A2023a","Apogee Instruments","VISA_SCPI","lantz/VISA","*IDN?","30","T2_visa_needs_rs232_idn"
"community","a2_d_4_ch__isolated_adc","AADCO零气发生器737-14","广州尚准仪器设备股份有限公司","VISA_SCPI","lantz/VISA","","10","T2_visa_needs_rs232_idn"
"community","a2_d_daq","Generic A/D DAQ Module 数据采集模块","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:READ:ANA? (@{ch})","14","T2_visa_needs_rs232_idn"
"community","a2_d_power_board","Generic A/D Power Board 电源板","A/D Instruments","VISA_SCPI","lantz/VISA","MEAS:VOLT:DC?","13","T2_visa_needs_rs232_idn"
"community","a2_d_sense_board","A/D Sense Board 传感板","A/D Instruments","VISA_SCPI","lantz/VISA","MEAS:VOLT:DC?","9","T2_visa_needs_rs232_idn"
"community","a2_d__eload","Generic A/D Electronic Load 电子负载","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:RS485?","26","T2_visa_needs_rs232_idn"
"community","a2_d__relay__board","Generic A/D Relay Board 继电器板","A/D Instruments","VISA_SCPI","lantz/VISA","INSTR:DAQ:GET:NCHS?","9","T2_visa_needs_rs232_idn"
"community","a4_s_backend","Generic A4 S Backend 后端控制器","Opentrons","SERIAL","pyserial","","13","T1b_serial_probe_tbd"
"community","aa_opto_mds","aa_opto_mds","","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","access2_backend","Automated Sample Storage","Hamilton","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","acq1102","ACQ1102 2 site compact FMC/ELF carrier","D-TACQ Solutions","TCP","socket","","0","T3_network_needs_ext"
"community","acq2106","ACQ2106","D-TACQ Solutions","TCP","socket","","5","T3_network_needs_ext"
"community","acq2106_tiga","ACQ2106","D-TACQ Solutions","TCP","socket","","2","T3_network_needs_ext"
"community","acq2106__mgtdram8","ACQ2106","D-TACQ Solutions","TCP","socket","","2","T3_network_needs_ext"
"community","acq400e","ACQ424ELF","D-TACQ Solutions","TCP","socket","","11","T3_network_needs_ext"
"community","adn_xpt","Analog Devices ADN Crosspoint Switch","Analog Devices","UNKNOWN","","","14","T4_manual_review"
"community","ads_symbol","Generic Ads Symbol","Beckhoff Automation","USB_SDK","usb/dll","","9","T3u_usb_sdk_not_serial"
"community","afg3021b","Tektronix(泰克)AFG3021B 任意波函数发生器","Tektronix","VISA_SCPI","lantz/VISA","*IDN?","1","T2_visa_needs_rs232_idn"
"community","afms","Afms","Adafruit Industries","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","agilent33210_a","33210A Waveform/Function Generator [Discontinued]","Keysight","TCP","socket","","6","T3_network_needs_ext"
"community","agilent33220a","33220A Function / Arbitrary Waveform Generator, 20 MHz [Obsolete]","Keysight","VISA_SCPI","scpi-framework","OUTP:LOAD?","8","T2_visa_needs_rs232_idn"
"community","agilent34410a","34410A Digital Multimeter, 6½ Digit [Obsolete]","Keysight","VISA_SCPI","scpi-framework","DATA:POIN?","9","T2_visa_needs_rs232_idn"
"community","agilent_dso7054_wrapper","DSO7054A Oscilloscope: 500 MHz, 4 analog channels [Obsolete]","Keysight","TCP","network-framework",":WAV:PRE?","19","T3_network_needs_ext"
"community","agilent_e4406_a","E4406A VSA Transmitter Tester, 7 MHz to 4 GHz [Obsolete]","Keysight","VISA_SCPI","scpi-framework","SYSTem:ERRor?","10","T2_visa_needs_rs232_idn"
"community","agilent_e44nn","E4432B ESG-D Series Digital RF Signal Generator, 3 GHz [Obsolete]","Keysight","VISA_SCPI","scpi-framework",":INST:SEL?","2","T2_visa_needs_rs232_idn"
"community","agilent_e8357_a","E8357A PNA Network Analyzer, 300 kHz to 6 GHz [Obsolete]","Keysight","VISA_SCPI","scpi-framework","CALC1:PAR:CAT?","5","T2_visa_needs_rs232_idn"
"community","agilent_n9010_a_wrapper","N9010A EXA Signal Analyzer, 10 Hz to 44 GHz","Keysight","TCP","network-framework",":POW:ATT?","29","T3_network_needs_ext"
"community","agilent_serial","Agilent 串口仪器接口 实验设备 串口设备","Agilent Technologies (Keysight)","TCP","network/rest","","5","T3_network_needs_ext"
"community","aguc2","Motor Controller, Piezo, 2 Axis, Agilis™, Hand-held","Newport","VISA_SCPI","scpi-framework","TE","3","T2_visa_needs_rs232_idn"
"community","aim_t_ti_el302_p","str","Aim-TTi","VISA_SCPI","scpi-framework","*IDN?","1","T2_visa_needs_rs232_idn"
"community","aio_serial","Generic Aio Serial 串口设备","Open Standard","SERIAL","pyserial","","8","T1b_serial_probe_tbd"
"community","aisa_kestrel_camera","Aisa Kestrel Camera","Specim","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","ami430","AMI Model 430 Power Supply Programmer","American Magnetics","VISA_SCPI","lantz/VISA","RAMP:RATE:UNITS?","1","T2_visa_needs_rs232_idn"
"community","amptek_mca","AMPTEK FastSDD","AMPTEK","TCP","socket","","10","T3_network_needs_ext"
"community","anaheim_automation_smc40","Anaheim Automation SMC40 步进电机控制器/索引器","Anaheim Automation","SERIAL","pyserial","ID","6","T1_serial_probe_ready"
"community","andor_device","Andor Andor Device","Andor Technology (Oxford Instruments)","USB_SDK","camera/spectro-sdk","","23","T3u_usb_sdk_not_serial"
"community","apt_motor_controller","Thorlabs APT Motor Controller 电机 自动化设备 控制器","Thorlabs","VISA_SCPI","scpi-framework","","31","T2_visa_needs_rs232_idn"
"community","apt_piezo_inertia_actuator","Thorlabs APT Piezo Inertia Actuator 惯性压电驱动器","Thorlabs","VISA_SCPI","scpi-framework","","31","T2_visa_needs_rs232_idn"
"community","arbin_spoofer","arbin_spoofer","","TCP","socket","","3","T3_network_needs_ext"
"community","arbok_driver","measurement","QuTech","VISA_SCPI","scpi-framework","","15","T2_visa_needs_rs232_idn"
"community","arduino_adc","Arduino ADC 模数转换接口","Arduino","TCP","socket","","3","T3_network_needs_ext"
"community","arduino_encoder","Arduino Encoder","Arduino","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","arduino_io","Arduino I/O 控制器 实验设备 控制器","Arduino","VISA_SCPI","lantz/VISA","INSTR:IO:READ:ANA? (@{ch})","13","T2_visa_needs_rs232_idn"
"community","argon_innova300_c","Coherent Innova 300C 氩离子激光器","Coherent","VISA_SCPI","lantz/VISA","PRINT {}","11","T2_visa_needs_rs232_idn"
"community","arx5_client","ARXrobotics","WattRex","UNKNOWN","","","8","T4_manual_review"
"community","as7341","ams OSRAM is a global leader in innovative light and sensor solutions","ams-OSRAM","SERIAL","pyserial","","7","T1b_serial_probe_tbd"
"community","ascii_axis","AXIS-TEC激光晶圆划片机AX-LS100","似空科学仪器（上海）有限公司","SERIAL","pyserial","","15","T1b_serial_probe_tbd"
"community","ascii_device","Generic Ascii Device","Open Standard","SERIAL","pyserial","","15","T1b_serial_probe_tbd"
"community","ascii_scan_file","Sonoscan超声波扫描显微镜","聚擘国际贸易（上海）有限公司","TCP","network-framework","","13","T3_network_needs_ext"
"community","ascii_serial","Generic Ascii Serial 串口设备","Open Standard","SERIAL","pyserial","","16","T1b_serial_probe_tbd"
"community","ascii_stl__writer","Ascii STL Writer","Open Source","UNKNOWN","","","3","T4_manual_review"
"community","asyncio_modbus_client","Watlow Watlow Electric Asyncio Modbus Client","Watlow Electric","MODBUS","modbus","","7","T2m_modbus_probeable"
"community","axis","AXIS-TEC激光晶圆划片机AX-LS100","似空科学仪器（上海）有限公司","VISA_SCPI","scpi-framework","TE","18","T2_visa_needs_rs232_idn"
"community","a_pump","Generic Automated Pump Controller 控制器","Tricontinent (Gardner Denver)","SERIAL","pyserial","","16","T1b_serial_probe_tbd"
"community","a_star_speed","A Star Speed","Pololu","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","base_client","韩国ilSHinBioBase 进口深冷冻箱 GUDERO CHEST系列","Jeio Tech Co., Ltd - 上海代表处","UNKNOWN","","","3","T4_manual_review"
"community","base_instrument","韩国ilSHinBioBase 进口深冷冻箱 GUDERO CHEST系列","Jeio Tech Co., Ltd - 上海代表处","VISA_SCPI","lantz/VISA","*IDN?","5","T2_visa_needs_rs232_idn"
"community","base_julabo","JULABO MAGIO MS-BC4 加热循环浴槽","Julabo","UNKNOWN","","","1","T4_manual_review"
