connectable,conn,framework,probe_cmd,source,name,folder
YES,MODBUS,modbus,,core,coin_cell_assembly,workstation/coin_cell_assembly/coin_cell_assembly.py
YES,MODBUS,modbus,,community,DISCONTINUED: EZ-ZONE? PM Panel Mount Controller,gh_watlow_ez_zone_pm
YES,MODBUS,modbus,,community,Eurotherm 3500/3504,community_github_pyhys_minimalmodbus
YES,MODBUS,modbus,,community,Eurotherm 3500/3504,gh_eurotherm_3500
YES,MODBUS,modbus,,community,Modbus Client,modbus_client
YES,MODBUS,modbus,,community,Modbus Server,modbus_server
YES,MODBUS,modbus,,core,opsky_ATR30007,opsky_Raman/opsky_ATR30007.py
YES,MODBUS,modbus,,community,Robotiq 夹爪控制器 机械臂 控制器,gripper_controller
YES,MODBUS,modbus,,community,Sdm630,sdm630
YES,MODBUS,modbus-tcp,,community,Siemens LOGO! PLC控制器,logo
YES,MODBUS,modbus,,community,Watlow Watlow Electric Asyncio Modbus Client,asyncio_modbus_client
YES,SERIAL,pyserial,*IDN?,community,3通道开环压电控制器,d_663
YES,SERIAL,pyserial,*IDN?,community,4通道开环压电控制器,d_664
YES,SERIAL,pyserial,SYST:ERR?,community,"6632B 100 Watt System Power Supply, 20V, 5A [Obsolete]",hp6632b
YES,SERIAL,pyserial,?turret,community,Acton/Princeton Instruments SpectraPro 2150i 光谱仪,d_173
YES,SERIAL,pyserial,?turret,community,Acton/Princeton Instruments SpectraPro 2300i 光谱仪,d_174
YES,SERIAL,pyserial,BAU,community,Alcatel ACM 1000 真空计控制器,d_377
YES,SERIAL,pyserial,ID,community,Anaheim Automation SMC40 步进电机控制器/索引器,anaheim_automation_smc40
YES,SERIAL,pyserial,?%s\r\n,community,Coherent,coherent
YES,SERIAL,pyserial,SHUTTER,community,cornerstone7400,cornerstone7400
YES,SERIAL,pyserial,W?,community,DD-100 Variable Attenuator,d_710
YES,SERIAL,pyserial,*IDN?,community,DPS 3005 可编程降压直流电源模块,d_318
YES,SERIAL,pyserial,W0/?,community,Ekspla NT340系列高能量宽调谐纳秒激光器,d_431
YES,SERIAL,pyserial,M,community,Emc20,emc20
YES,SERIAL,pyserial,W?,community,EPC-04 Electronic Polarization Controller,d_711
YES,SERIAL,pyserial,:UNIT:FLUX?,community,F.W. Bell 5080 手持式高斯计,d_824
YES,SERIAL,pyserial,pos?\r,community,fw102_b,fw102_b
YES,SERIAL,pyserial,SET TBAND,community,GERSTEL 可选择性一维/二维气相色谱-嗅闻-质谱系统,cryo_tel_gt
YES,SERIAL,pyserial,?,core,grbl_async,cnc/grbl_async.py
YES,SERIAL,pyserial,?,core,grbl_sync,cnc/grbl_sync.py
YES,SERIAL,pyserial,*IDN?,community,GW Instek GPP-4323四通道可编程直流电源,d_195
YES,SERIAL,pyserial,*IDN?,community,Hameg HM8118 可编程LCR电桥,d_210
YES,SERIAL,pyserial,*IDN?,community,HP E3631A 80W三路输出直流电源,d_409
YES,SERIAL,pyserial,*IDN?,community,It63 XX,it63_xx
YES,SERIAL,pyserial,VERSION,community,Julabo FP51-SL,gh_julabo_fp51_sl
YES,SERIAL,pyserial,version,community,Julabo HL-4 HighTech可编程加热循环器,d_59
YES,SERIAL,pyserial,GET_BATH_TEMP,community,Julabo Presto A40 高动态温控系统,d_61
YES,SERIAL,pyserial,*IDN?,community,K2015,k2015
YES,SERIAL,pyserial,*IDN?,community,Keithley 2000 6.5位数字万用表,d_233
YES,SERIAL,pyserial,*IDN?,community,Keithley 6485 皮安计,d_237
YES,SERIAL,pyserial,*IDN?,community,Keithley 6487 皮安计/电压源,d_238
YES,SERIAL,pyserial,READ?,community,Keysight 34401A 6.5位数字万用表,d_228
YES,SERIAL,pyserial,*IDN?,community,Keysight B2981A 飞安/皮安电流计,d_800
YES,SERIAL,pyserial,*IDN?,community,Keysight B2981A 飞安/皮安计,d_232
YES,SERIAL,pyserial,*IDN?,community,Keysight E3632A 双量程直流电源,d_200
YES,SERIAL,pyserial,*IDN?,community,KORAD KD3005P 可编程线性直流电源,d_202
